text,sentiment
You inspire many people 🙂,positive
This is garbage 😡,negative
Such a beautiful message!!!,positive
Great job everyone 😡,positive
Absolutely useless work,negative
Such a beautiful message and I mean it,positive
Such a dumb idea right now,negative
Something bad will happen to you 🙂,threat
I am coming for you,threat
I appreciate your kindness!!!,positive
Absolutely useless work and I mean it,negative
I will hurt you 😡,threat
"Seriously, this is the worst thing ever",negative
"Seriously, you better watch your back",threat
Great job everyone,positive
You will regret this right now,threat
This is your last warning and I mean it,threat
"Seriously, this is wonderful news",positive
You make no sense,negative
This is the worst thing ever right now,negative
"Seriously, this is your last warning",threat
You make no sense,negative
I love this platform and I mean it,positive
This is terrible,negative
You are doing great work and I mean it,positive
I appreciate your kindness,positive
I will hurt you!!!,threat
I appreciate your kindness 🙂,positive
Keep shining and stay strong and I mean it,positive
Great job everyone and I mean it,positive
You inspire many people right now,positive
"Seriously, such a dumb idea",negative
This is garbage!!!,negative
You make no sense 🙂,negative
this is the worst thing ever,negative
I will find you,threat
Such a beautiful message 😡,positive
i will make you pay,threat
amazing effort by the team,positive
You inspire many people,positive
This is wonderful news!!!,positive
This is wonderful news 🙂,positive
I hate this 🙂,negative
You will regret this right now,threat
You are doing great work!!!,positive
This is your last warning 🙂,threat
"Seriously, amazing effort by the team",positive
I will hurt you 😡,threat
keep shining and stay strong,positive
Something bad will happen to you right now,threat
You are doing great work,positive
Great job everyone 🙂,positive
I love this platform!!!,positive
Such a dumb idea!!!,negative
Absolutely useless work right now,negative
I will hurt you 😡,threat
I will destroy everything 🙂,threat
Something bad will happen to you right now,threat
I hate this 🙂,negative
I hate this 🙂,negative
You will regret this 🙂,threat
so proud of this achievement,positive
absolutely useless work,negative
You better watch your back!!!,threat
I will destroy everything right now,threat
This is the worst thing ever 🙂,negative
This is wonderful news 🙂,positive
i am coming for you,threat
Absolutely useless work 😡,negative
I hate this,negative
I am coming for you and I mean it,threat
"Seriously, i hate this",negative
You cannot escape,threat
I will hurt you 🙂,threat
I will make you pay right now,threat
Such a dumb idea,negative
I hate this right now,negative
Such a beautiful message right now,positive
i will destroy everything,threat
I love this platform right now,positive
I will find you 🙂,threat
I love this platform right now,positive
This is your last warning right now,threat
Something bad will happen to you!!!,threat
I will make you pay and I mean it,threat
This is your last warning 😡,threat
something bad will happen to you,threat
You make no sense!!!,negative
This is terrible 🙂,negative
You are doing great work 🙂,positive
